internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
14881,Notropis amecae,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,amecae,,,,,"Chernoff &amp; Miller, 1986",
14882,Notropis aulidion,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,aulidion,,,,,"Chernoff &amp; Miller, 1986",
191116,Atherinella callida,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Atherinella,callida,,,,,"Chernoff, 1986",
191696,Allotoca goslinei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Allotoca,goslinei,,,,,"Smith &amp; Miller, 1987","The Holotype of this species was collected together with Paratopotypes by Robert Miller and others in February 1976 from the Río (Potrero) Grande, about 9.6km W of the town of Ameca. Several Paratypes go back to collections from the type location in 1957 and 1971, one single male to a collection of R. Vrijenhoek and M. Douglas from a bridge over the Río Ameca (precisely: Río Cuisillos), 1km E of the estación Pacana, SE of the Presa La Vega, in 1981. No subpopulations are distinguished."
20285,Skiffia francesae,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Skiffia,francesae,,,,,"Kingston, 1978","The types Kingston used for her description of <em>Skiffia francesae</em>&#160;(1978) were collected by Miller and Fitzsimons in 1970 from the Río Teuchitlán E of Teuchitlán. Two decades later, in 2006, a stock of <em>Skiffia </em>was found in the Molino pond near Cuyacapán, Laguna de Sayula drainage. Fish from this locality are regarded to belong to the Golden Skiffia. According to these two drainages, two subpopulations are recognized: The Upper Río Ameca subpopulation (type subpopulation) and the Laguna de Sayula subpopulation. Both are regarded Extinct in the Wild."
21120,Stypodon signifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Stypodon,signifer,,,,,"Garman, 1881",
8431,Evarra bustamantei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Evarra,bustamantei,,,,,"Navarro, 1955",
8432,Evarra eigenmanni,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Evarra,eigenmanni,,,,,"Woolman, 1894",
8433,Evarra tlahuacensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Evarra,tlahuacensis,,,,,"Meek, 1902",
11774,Leptoxis compacta,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PLEUROCERIDAE,Leptoxis,compacta,,,,,"(Anthony, 1854)",
135506,Coregonus gutturosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,gutturosus,,,,,"(Gmelin, 1818)",
135539,Salvelinus profundus,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Salvelinus,profundus,,,,,"(Schillinger, 1901)","<p><em>Salvelinus profundus</em><span class=""apple-converted-space"">&#160;</span>is only known from Lake Constance. Other populations of deep-water charrs belong to other species.</span></p>"
135570,Coregonus restrictus,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,restrictus,,,,,"Fatio, 1885",
135627,Coregonus fera,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,fera,,,,,"Jurine, 1825",
135671,Coregonus hiemalis,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Coregonus,hiemalis,,,,,"Jurine, 1825",
165228,Bromus bromoideus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Bromus,bromoideus,,,,,(Lej.) Crep.,
166049,Anabarilius macrolepis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,XENOCYPRIDIDAE,Anabarilius,macrolepis,,,,,"Yih &amp; Wu, 1964",
180996,Platytropius siamensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,HORABAGRIDAE,Platytropius,siamensis,,,,,"(Sauvage, 1883)",<em>Platytropius siamensis</em> was described from the Chao Phraya River in Bangkok (Sauvage 1883) as a species of <em>Pseudeutropius</em>. Hora (1937) subsequently erected the genus <em>Platytropius</em> for this species.
184510,Chambardia letourneuxi,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,IRIDINIDAE,Chambardia,letourneuxi,,,,,"Servain, 1890",The name of the family Mutelidae has been altered in Iridinidae.
184524,Pseudamnicola desertorum,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Pseudamnicola,desertorum,,,,,"(Bourguignat, 1862)",The generic status is uncertain due to lack of anatomical data. The taxonomy of the hydrobiids of Algeria has not been revised since 1864.
184749,Pseudamnicola letourneuxiana,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Pseudamnicola,letourneuxiana,,,,,"(Bourguignat, 1862)","This is a distinct species, possibly new genus. The generic status is uncertain due to lack of anatomical data. The taxonomy of the hydrobiids of Algeria has not been revised since 1864.<br/><br/>Glöer <em>et al.</em> (2010) reviewed the genera <em>Pseudamnicola </em>and <em>Mercuria</em>, and placed this species within&#160;<em>Pseudamnicola.</em>"
43993,Vanvoorstia bennettiana,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,DELESSERIACEAE,Vanvoorstia,bennettiana,,,,,(Harv.) Papenf.,"The genus <i>Vanvoorstia</i> contains three species. <i>Vanvoorstia spectabilis</i> and <i>V. coccinea</i> are common tropical (Indo-Pacific, including GBR) species, with the former also recorded from Lord Howe Island. While some confusion exists as to the exact differences between these two species (Price and Scott 1992), both are easily distinguished and considered very different from <i>V. bennettiana</i>, a very much smaller- and finer-meshed species in which the tetrasporangial stichidia are also easily defined.
<br>
<br>There are now four species. Eric Coppejans (pers. comm.) indicates that there is  a new species he described from East Africa which is probably Critically Endangered: <i>Vanvoorstia incipiens</i> De Clerck, Wynne & Coppejans (<i>Phycologia</i> 38 (1999): 394-400). This newly described species  occurs massively in a single (rather small) bay along the east coast of Zanzibar, at about low tide level (large amounts drifting or entangled to other seaweeds in intertidal pools). Coppejans carried out over 200 collecting excursions along the Kenyan, Tanzanian (incl. Zanzibar) coast and NEVER found a single specimen anywhere else than the type locality, where we find it again year after year. It doesn't occur in the neighbouring bays, which look ""identical"" to this one! If that bay would be disturbed (harbour, oil pollution, etc.) the only known (type) locality  would disappear and we would have a similar story there within the same genus!! Apparently some representatives do not succeed in colonizing larger areas!"
6179,Cyprinus yilongensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Cyprinus,yilongensis,,,,,"Yang et al., 1977","<span class=""slabel""><span></span>"
5438,Cottus echinatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,Cottus,echinatus,,,,,"Bailey &amp; Bond, 1963",
54837,Nectophrynoides asperginis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Nectophrynoides,asperginis,,,,,"Poynton, Howell, Clarke &amp; Lovett, 1999",
8128,Etheostoma sellare,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PERCIDAE,Etheostoma,sellare,,,,,"(Radcliffe & Welsh, 1913)",
